CAFRA.g1032.t1	b43d529b3bb5336c3e4dd78a83097a64	825	Pfam	PF02170	PAZ domain	226	352	6.5E-25	T	22-10-2021	IPR003100	PAZ domain
CAFRA.g1032.t1	b43d529b3bb5336c3e4dd78a83097a64	825	Pfam	PF02171	Piwi domain	502	810	4.7E-76	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g13848.t1	75a5507f0dd89267558fcf92bac1e4b2	1079	Pfam	PF02171	Piwi domain	722	1036	2.1E-67	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g15048.t1	aa8fdb9db482101ee0c1a451457a0e2b	1013	Pfam	PF02171	Piwi domain	651	967	2.1E-37	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g15050.t1	cccbbc537e14895b0861c4ec7561a225	919	Pfam	PF02171	Piwi domain	581	880	1.0E-50	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g15874.t1	db11dfd0067bd197c2638e643982aea0	1074	Pfam	PF02171	Piwi domain	714	1031	1.5E-62	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g19556.t1	522e6547522293e5fbcad557a0e77838	943	Pfam	PF02171	Piwi domain	594	902	1.8E-78	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g19556.t1	522e6547522293e5fbcad557a0e77838	943	Pfam	PF02170	PAZ domain	331	440	8.8E-18	T	22-10-2021	IPR003100	PAZ domain
CAFRA.g19556.t1	522e6547522293e5fbcad557a0e77838	943	Pfam	PF16486	N-terminal domain of argonaute	81	190	6.5E-9	T	22-10-2021	IPR032474	Protein argonaute, N-terminal
CAFRA.g15049.t3	22469885ee2ba584b6682ec2838c6621	961	Pfam	PF02171	Piwi domain	609	916	8.2E-45	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g5674.t1	79b33c1e5574639e07596fbb332acccd	1273	Pfam	PF01827	FTH domain	146	226	7.0E-9	T	22-10-2021	IPR002900	Domain of unknown function DUF38, Caenorhabditis species
CAFRA.g5674.t1	79b33c1e5574639e07596fbb332acccd	1273	Pfam	PF02171	Piwi domain	871	1231	3.2E-79	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g5674.t1	79b33c1e5574639e07596fbb332acccd	1273	Pfam	PF02170	PAZ domain	623	719	1.4E-15	T	22-10-2021	IPR003100	PAZ domain
CAFRA.g11858.t1	030919a5b008ef5dda2610a9b1baefb1	1129	Pfam	PF02170	PAZ domain	217	297	2.2E-8	T	22-10-2021	IPR003100	PAZ domain
CAFRA.g11858.t1	030919a5b008ef5dda2610a9b1baefb1	1129	Pfam	PF02171	Piwi domain	460	785	2.0E-70	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g3198.t1	1b67767d69127c913b3c1de95a57ad8b	883	Pfam	PF02170	PAZ domain	294	404	4.7E-9	T	22-10-2021	IPR003100	PAZ domain
CAFRA.g3198.t1	1b67767d69127c913b3c1de95a57ad8b	883	Pfam	PF02171	Piwi domain	560	846	1.9E-52	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g15051.t1	38b908ba9188c15378e53ae34551f109	896	Pfam	PF02171	Piwi domain	593	877	2.0E-13	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g3591.t1	3cf61d9d974e8b437c9c359e4fc4faaa	1081	Pfam	PF02171	Piwi domain	727	1043	1.3E-49	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g1457.t1	e9ccf4b11afa2b114a9d3558877543dc	750	Pfam	PF02171	Piwi domain	370	695	2.2E-89	T	22-10-2021	IPR003165	Piwi domain
CAFRA.g1457.t1	e9ccf4b11afa2b114a9d3558877543dc	750	Pfam	PF02170	PAZ domain	100	212	1.3E-13	T	22-10-2021	IPR003100	PAZ domain
